     Molecular Orbital Coefficients:
                           1         2         3         4         5
                           O         O         O         O         O
     Eigenvalues --  -372.66755-235.72701 -46.03921 -40.79270 -40.79111
   176        3PY       0.00000   0.00000   0.00002  -0.00002  -0.00002
   177        3PZ       0.00000   0.00001   0.00003   0.00003  -0.00002
   178        4S       -0.00001   0.00000  -0.00015  -0.00035  -0.00018
   179        4PX      -0.00003  -0.00001  -0.00035   0.00011   0.00054
   180        4PY      -0.00001   0.00001  -0.00006  -0.00004   0.00004
   181        4PZ      -0.00004  -0.00008  -0.00046  -0.00014   0.00023
   182        5S       -0.00092  -0.00055  -0.01196   0.01065   0.01415
   183        5PX      -0.00012   0.00009  -0.00148   0.00259   0.00289
   184        5PY      -0.00018   0.00000  -0.00244   0.00171   0.00159
   185        5PZ      -0.00029  -0.00006  -0.00375   0.00095   0.00444
   186        6D 0      0.00000  -0.00001  -0.00001   0.00001   0.00001
   187        6D+1      0.00000   0.00000  -0.00001   0.00001   0.00002
   188        6D-1      0.00000   0.00000   0.00000   0.00000   0.00000
   189        6D+2      0.00000   0.00000   0.00000   0.00000   0.00001
   190        6D-2      0.00000   0.00000   0.00001  -0.00001  -0.00001
   191 8   N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   192        2S        0.00000   0.00000   0.00000   0.00000   0.00000
   193        2PX       0.00000   0.00000   0.00000   0.00000  -0.00001
   194        2PY       0.00000   0.00000   0.00000   0.00000   0.00000
   195        2PZ       0.00000   0.00000   0.00000   0.00000   0.00000
   196        3S        0.00000   0.00002  -0.00004   0.00001   0.00005
   197        3PX       0.00000   0.00001  -0.00002  -0.00001   0.00005
   198        3PY       0.00000   0.00001  -0.00001   0.00000   0.00001
   199        3PZ       0.00000   0.00000   0.00000   0.00001   0.00000
   200        4S        0.00001  -0.00006   0.00012  -0.00019  -0.00012
   201        4PX       0.00002  -0.00009   0.00022   0.00008  -0.00047
   202        4PY       0.00001  -0.00014   0.00008   0.00006  -0.00020
   203        4PZ       0.00000   0.00002   0.00004  -0.00012  -0.00006
   204        5S        0.00001  -0.00022   0.00004   0.00243  -0.00376
   205        5PX      -0.00001  -0.00017  -0.00015  -0.00024  -0.00056
   206        5PY      -0.00008  -0.00026  -0.00105   0.00123  -0.00013
   207        5PZ       0.00003  -0.00002   0.00038  -0.00141   0.00009
   208        6D 0      0.00000   0.00000   0.00000   0.00000   0.00000
   209        6D+1      0.00000   0.00000   0.00000   0.00000   0.00000
   210        6D-1      0.00000   0.00000   0.00000   0.00001   0.00000
   211        6D+2      0.00000   0.00000   0.00000   0.00001  -0.00001
   212        6D-2      0.00000   0.00000   0.00000   0.00000  -0.00001
   213 9   N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   214        2S        0.00000   0.00000  -0.00002   0.00001   0.00000
   215        2PX       0.00000   0.00000   0.00001   0.00001   0.00001
   216        2PY       0.00000   0.00000  -0.00001  -0.00001  -0.00001
   217        2PZ       0.00000   0.00000  -0.00001  -0.00003   0.00000
   218        3S        0.00001   0.00001   0.00015  -0.00010   0.00001
   219        3PX       0.00000   0.00000  -0.00005   0.00002  -0.00002
   220        3PY       0.00000   0.00000   0.00003   0.00003   0.00002
   221        3PZ       0.00001   0.00000   0.00013  -0.00004   0.00001
   222        4S        0.00000  -0.00005   0.00001   0.00009   0.00006
   223        4PX       0.00002   0.00001   0.00026  -0.00022   0.00003
   224        4PY       0.00000  -0.00001  -0.00003  -0.00039  -0.00008
   225        4PZ      -0.00005  -0.00003  -0.00061   0.00003   0.00016
   226        5S        0.00069   0.00046   0.00933  -0.01809  -0.00186
   227        5PX      -0.00023  -0.00020  -0.00303   0.00462   0.00172
   228        5PY      -0.00006   0.00004  -0.00063   0.00141   0.00011
   229        5PZ       0.00024   0.00007   0.00333  -0.00631  -0.00009
   230        6D 0      0.00000   0.00000  -0.00004   0.00008   0.00000
   231        6D+1      0.00000   0.00000   0.00002  -0.00005   0.00001
   232        6D-1      0.00000   0.00000   0.00000   0.00001  -0.00001
   233        6D+2      0.00000   0.00000   0.00000  -0.00001  -0.00001
   234        6D-2      0.00000   0.00000   0.00000  -0.00001   0.00000
   235 10  N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   236        2S        0.00000   0.00000  -0.00001  -0.00001   0.00000
   237        2PX       0.00000   0.00000   0.00001   0.00001  -0.00003
   238        2PY       0.00000   0.00000   0.00002   0.00001  -0.00003
   239        2PZ       0.00000   0.00000   0.00000   0.00001   0.00001
   240        3S        0.00000   0.00000   0.00004   0.00004   0.00005
   241        3PX      -0.00001   0.00000  -0.00010  -0.00003   0.00003
   242        3PY      -0.00001   0.00000  -0.00015  -0.00002   0.00005
   243        3PZ       0.00000   0.00000   0.00002  -0.00006  -0.00003
   244        4S        0.00004   0.00002   0.00049  -0.00007   0.00042
   245        4PX       0.00008  -0.00001   0.00099   0.00017   0.00006
   246        4PY       0.00012  -0.00002   0.00155   0.00008  -0.00004
   247        4PZ       0.00001  -0.00002   0.00014   0.00031   0.00038
   248        5S        0.00105  -0.00001   0.01434  -0.00283   0.00018
   249        5PX      -0.00016   0.00002  -0.00232   0.00125  -0.00105
   250        5PY      -0.00021   0.00004  -0.00296   0.00068  -0.00238
   251        5PZ      -0.00005  -0.00001  -0.00068  -0.00223   0.00067
   252        6D 0      0.00000   0.00000   0.00004  -0.00001   0.00005
   253        6D+1      0.00000   0.00000   0.00001   0.00000   0.00000
   254        6D-1      0.00000   0.00000   0.00001   0.00000   0.00002
   255        6D+2      0.00000   0.00000  -0.00002  -0.00001  -0.00001
   256        6D-2      0.00000   0.00000  -0.00006   0.00001  -0.00008
   257 11  N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   258        2S        0.00000   0.00000  -0.00001   0.00000   0.00000
   259        2PX       0.00000   0.00000   0.00002   0.00001  -0.00002
   260        2PY       0.00000   0.00000  -0.00001  -0.00001   0.00003
   261        2PZ       0.00000   0.00000   0.00000   0.00000   0.00000
   262        3S        0.00000   0.00000   0.00005   0.00005   0.00002
   263        3PX      -0.00001   0.00000  -0.00014  -0.00004   0.00000
   264        3PY       0.00001   0.00000   0.00012   0.00003  -0.00003
   265        3PZ       0.00000   0.00000  -0.00002  -0.00001  -0.00001
